,player,hand,board,move,amount,past_bet,current_bet,in_game,best_hand
0,Deeksha,"[JC, 4D]",[],fold,0,1010443,0,False,Initial Hand
1,Yike,"[6D, 6C]",[],raising,10000000,2010207,10000002,True,Initial Hand
2,Zehan,"[9C, KD]",[],call,0,0,10000002,True,Initial Hand
3,Shreyashi,"[10C, 5H]",[],fold,0,2020192,0,False,Initial Hand
4,Zehan,"[9C, KD]","[JD, 8H, 7C]",call,0,10000002,0,True,high card
5,Yike,"[6D, 6C]","[JD, 8H, 7C]",call,0,12010209,0,True,one pair
6,Zehan,"[9C, KD]","[JD, 8H, 7C, 10H]",call,0,10000002,0,True,straight
7,Yike,"[6D, 6C]","[JD, 8H, 7C, 10H]",call,0,12010209,0,True,one pair
8,Zehan,"[9C, KD]","[JD, 8H, 7C, 10H, 5D]",raising,10000,10000002,10000,True,straight
9,Yike,"[6D, 6C]","[JD, 8H, 7C, 10H, 5D]",call,0,12010209,10000,True,one pair
