,player,hand,board,move,amount,past_bet,current_bet,in_game,best_hand
0,Yike,"[AH, AC]",[],raising,1000000,8,1000002,True,Initial Hand
1,Zehan,"[QD, 10C]",[],call,0,0,1000002,True,Initial Hand
2,Deeksha,"[AD, KS]",[],call,0,20,1000002,True,Initial Hand
3,Shreyashi,"[KC, 6D]",[],fold,0,12,0,False,Initial Hand
4,Deeksha,"[AD, KS]","[AS, 7C, 2D]",call,0,1000022,0,True,one pair
5,Yike,"[AH, AC]","[AS, 7C, 2D]",fold,0,1000010,0,False,three of a kind
6,Zehan,"[QD, 10C]","[AS, 7C, 2D]",fold,0,1000002,0,False,high card
