,player,hand,board,move,amount,past_bet,current_bet,in_game,best_hand
0,Yike,"[7S, KS]",[],call,0,90,2,True,Initial Hand
1,Shreyashi,"[JC, 5D]",[],fold,0,51,0,False,Initial Hand
2,Zehan,"[5S, QS]",[],call,0,323,2,True,Initial Hand
3,Zehan,"[5S, QS]","[3C, QC, 6C]",call,0,325,0,True,one pair
4,Deeksha,"[7C, 10C]","[3C, QC, 6C]",call,0,173,0,True,flush
5,Yike,"[7S, KS]","[3C, QC, 6C]",fold,0,92,0,False,high card
6,Zehan,"[5S, QS]","[3C, QC, 6C, 4D]",fold,0,325,0,False,one pair
7,Deeksha,"[7C, 10C]","[3C, QC, 6C, 4D]",call,0,173,0,True,flush
