,player,hand,board,move,amount,past_bet,current_bet,in_game,best_hand
0,Deeksha,"[KS, 7D]",[],call,0,11010452,2,True,Initial Hand
1,Yike,"[KD, AC]",[],raising,9,22020214,11,True,Initial Hand
2,Zehan,"[9D, 5C]",[],fold,0,1,0,False,Initial Hand
3,Shreyashi,"[4S, 6D]",[],fold,0,12020196,0,False,Initial Hand
4,Deeksha,"[KS, 7D]",[],call,0,11010452,11,True,Initial Hand
5,Deeksha,"[KS, 7D]","[QD, QC, 2C]",call,0,11010463,0,True,one pair
6,Yike,"[KD, AC]","[QD, QC, 2C]",fold,0,22020225,0,False,one pair
