,player,hand,board,move,amount,past_bet,current_bet,in_game,best_hand
0,Yike,"[JC, AC]",[],raising,10000000,12020209,10000002,True,Initial Hand
1,Zehan,"[4D, 3C]",[],fold,0,0,0,False,Initial Hand
2,Shreyashi,"[2H, 8H]",[],call,0,2020192,10000002,True,Initial Hand
3,Deeksha,"[9H, 10H]",[],call,0,1010443,10000002,True,Initial Hand
4,Shreyashi,"[2H, 8H]","[8S, 4S, 7S]",fold,0,12020194,0,False,one pair
5,Deeksha,"[9H, 10H]","[8S, 4S, 7S]",call,0,11010445,0,True,high card
6,Yike,"[JC, AC]","[8S, 4S, 7S]",fold,0,22020211,0,False,high card
